data,create_time
"{""TMP"":[1130],""HR"":[6240],""PRS"":[101900],""FX"":[5],""DO"":[1852],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:50:17.22202+08
"{""TMP"":[1170],""HR"":[6070],""PRS"":[101900],""FX"":[6],""DO"":[865],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:49:12.744721+08
"{""TMP"":[1210],""HR"":[5890],""PRS"":[101900],""FX"":[6],""DO"":[6281],""wTMP"":[1340],""wPH"":[1309],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:48:08.344172+08
"{""TMP"":[1210],""HR"":[6020],""PRS"":[101900],""FX"":[6],""DO"":[400],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:47:04.209391+08
"{""TMP"":[1180],""HR"":[6130],""PRS"":[101900],""FX"":[6],""DO"":[627],""wTMP"":[1330],""wPH"":[400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:45:54.137495+08
"{""TMP"":[1090],""FX"":[6],""DO"":[8466],""wTMP"":[1340],""wPH"":[1176],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:44:49.601428+08
"{""TMP"":[1040],""HR"":[6460],""PRS"":[102000],""FX"":[6],""DO"":[806],""wTMP"":[1330],""wPH"":[400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:43:44.740181+08
"{""TMP"":[1030],""HR"":[6500],""PRS"":[101900],""FX"":[5],""DO"":[2279],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:42:42.587104+08
"{""TMP"":[1020],""HR"":[6490],""PRS"":[102000],""FX"":[5],""DO"":[2103],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:41:35.680804+08
"{""TMP"":[1010],""HR"":[6469],""PRS"":[101900],""FX"":[6],""DO"":[1733],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:40:31.369315+08
"{""TMP"":[1010],""HR"":[6560],""PRS"":[102000],""FX"":[5],""DO"":[2321],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:39:27.071507+08
"{""TMP"":[1010],""HR"":[6550],""PRS"":[102000],""FX"":[6],""DO"":[1917],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:38:22.807541+08
"{""TMP"":[1010],""HR"":[6569],""PRS"":[101900],""FX"":[5],""DO"":[1897],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:37:18.484498+08
"{""TMP"":[1000],""HR"":[6590],""PRS"":[102000],""FX"":[5],""DO"":[2609],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:36:14.202377+08
"{""TMP"":[1000],""HR"":[6560],""PRS"":[102000],""FX"":[6],""DO"":[1993],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:35:09.916838+08
"{""TMP"":[1000],""HR"":[6490],""PRS"":[102000],""FX"":[6],""DO"":[1661],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:34:05.628476+08
"{""TMP"":[1000],""HR"":[6530],""PRS"":[102000],""FX"":[6],""DO"":[1435],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:33:01.332999+08
"{""TMP"":[1000],""HR"":[6440],""PRS"":[102000],""FX"":[5],""DO"":[1840],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:31:57.032905+08
"{""TMP"":[1010],""HR"":[6340],""PRS"":[102000],""FX"":[6],""DO"":[900],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:30:52.705333+08
"{""TMP"":[1030],""HR"":[6400],""PRS"":[102000],""FX"":[6],""DO"":[4424],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:29:48.442579+08
"{""TMP"":[1020],""HR"":[6280],""PRS"":[102000],""FX"":[6],""DO"":[1800],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:28:44.055346+08
"{""TMP"":[1020],""HR"":[6270],""PRS"":[102000],""FX"":[6],""DO"":[927],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:27:39.841129+08
"{""TMP"":[1020],""HR"":[6150],""PRS"":[102000],""FX"":[6],""DO"":[0],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:26:35.507476+08
"{""TMP"":[1020],""HR"":[6020],""PRS"":[102000],""FX"":[6],""DO"":[2081],""wTMP"":[1320],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:25:31.108511+08
"{""TMP"":[1040],""HR"":[6180],""PRS"":[102000],""FX"":[6],""DO"":[9164],""wTMP"":[1340],""wPH"":[1328],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:24:26.607123+08
"{""TMP"":[1050],""HR"":[6150],""PRS"":[102000],""FX"":[6],""DO"":[1766],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:23:22.348451+08
"{""TMP"":[1060],""HR"":[6040],""PRS"":[102000],""FX"":[6],""DO"":[1518],""wTMP"":[1320],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:22:17.905522+08
"{""TMP"":[1080],""HR"":[6010],""PRS"":[102000],""FX"":[6],""DO"":[623],""wTMP"":[1330],""wPH"":[1083],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:21:13.362626+08
"{""TMP"":[1100],""PRS"":[101900],""FX"":[5],""DO"":[8896],""wTMP"":[1340],""wPH"":[1325],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:20:08.971985+08
"{""TMP"":[1160],""HR"":[5670],""PRS"":[101900],""FX"":[6],""DO"":[225],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:19:04.495661+08
"{""TMP"":[1210],""HR"":[5310],""PRS"":[101900],""FX"":[6],""DO"":[875],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:18:00.160309+08
"{""TMP"":[1230],""HR"":[5320],""PRS"":[101900],""FX"":[6],""DO"":[1502],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:16:55.652739+08
"{""TMP"":[1330],""HR"":[5240],""PRS"":[101900],""FX"":[6],""DO"":[2061],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:15:44.317387+08
"{""TMP"":[1310],""HR"":[5520],""PRS"":[101900],""FX"":[6],""DO"":[2056],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:14:39.998759+08
"{""TMP"":[1240],""HR"":[5760],""PRS"":[101900],""FX"":[6],""DO"":[2875],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:13:35.695898+08
"{""TMP"":[1130],""HR"":[6200],""PRS"":[102000],""FX"":[6],""DO"":[2288],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:12:31.353349+08
"{""TMP"":[1040],""HR"":[6220],""PRS"":[102000],""FX"":[5],""DO"":[2237],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:11:27.033783+08
"{""TMP"":[1060],""HR"":[6380],""PRS"":[102000],""FX"":[5],""DO"":[1909],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:10:22.72848+08
"{""TMP"":[1060],""HR"":[6419],""PRS"":[102000],""FX"":[5],""DO"":[2495],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:09:18.508681+08
"{""TMP"":[1040],""HR"":[6380],""PRS"":[101900],""FX"":[5],""DO"":[2088],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:08:14.134204+08
"{""TMP"":[1050],""HR"":[6200],""PRS"":[101900],""FX"":[5],""DO"":[2033],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:07:09.807056+08
"{""TMP"":[1060],""HR"":[6230],""PRS"":[101900],""FX"":[5],""DO"":[2034],""wTMP"":[1320],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:06:05.502689+08
